Species	Tissue	Download
Human	Hepatic sinusoid	 txt
Human	Hindlimb stylopod	 txt
Human	Hippocampal formation	 txt
Human	Hypothalamus	 txt
Human	Ileum	 txt
Human	Inferior nasal concha	 txt
Human	Intervertebral disk	 txt
Human	Intestine	 txt
Human	Iris	 txt
Human	Islet of Langerhans	 txt
Human	Jaw region	 txt
Human	Jejunum	 txt
Human	Kidney	 txt
Human	Knee	 txt
Human	Labial gland	 txt
Human	Lacrimal gland	 txt
Human	Large intestine	 txt
Human	Laryngeal vocal fold	 txt
Human	Larynx epithelium	 txt
Human	Larynx	 txt
Human	Ligament	 txt
Human	Limbal basal epithelium	 txt
Human	Liver	 txt
Human	Lung	 txt
Human	Lymph node	 txt
Human	Lymph	 txt
Human	Lymphoid tissue	 txt
Human	Major salivary gland	 txt
Human	Mammary gland	 txt
Human	Manus	 txt
Human	Median basilic vein	 txt
Human	Medulla of thymus	 txt
Human	Meniscus	 txt
Human	Mesenchyme of umbilical cord	 txt
Human	Mesenteric artery	 txt
Human	Mesenteric lymph node	 txt
Human	Midbrain	 txt
Human	Minor salivary gland	 txt
Human	Molar tooth	 txt
Human	Mouth mucosa	 txt
Human	Mouth	 txt
Human	Mucosa of pyloric antrum	 txt
Human	Mucosa of small intestine	 txt
Human	Mucosa of stomach	 txt
Human	Muscle organ	 txt
Human	Muscle scar	 txt
Human	Myocardium	 txt
Human	Myometrium	 txt
Human	Nail bed	 txt
Human	Nail matrix	 txt
Human	Nail unit	 txt
Human	Nail	 txt
Human	Nasal cavity epithelium	 txt
Human	Nasal cavity mucosa	 txt
Human	Nasal cavity respiratory epithelium	 txt
Human	Nasal cavity	 txt
Human	Nasopharynx	 txt
Human	Nerve	 txt
Human	Neuron projection bundle connecting eye with brain	 txt
Human	Nose	 txt
Human	Nucleus pulposus	 txt
Human	Olfactory epithelium	 txt
Human	Omentum	 txt
Human	Optic choroid	 txt
Human	Oral cavity	 txt
Human	Orbitalis muscle	 txt
Human	Ovarian cortex	 txt
Human	Ovarian follicle	 txt
Human	Ovary	 txt
Human	Palmar part of manus	 txt
Human	Pancreas	 txt
Human	Pancreatic acinus	 txt
Human	Paranasal sinus	 txt
Human	Parotid gland	 txt
Human	Penis	 txt
Human	Periodontal ligament	 txt
Human	Periosteum	 txt
Human	Peritoneal cavity	 txt
Human	Peritoneum	 txt
Human	Pes	 txt
Human	Pigmented layer of retina	 txt
Human	Pituitary gland	 txt
Human	Placenta	 txt
Human	Pleura	 txt
Human	Posterior part of tongue	 txt
Human	Premolar tooth	 txt
Human	Primitive streak	 txt
Human	Prostate gland	 txt
Human	Pyloric antrum	 txt
Human	Pyloric gastric gland	 txt
Human	Rectum	 txt
Human	Red pulp of spleen	 txt
Human	Renal glomerulus	 txt
Human	Respiratory tract epithelium	 txt
Human	Retina	 txt
Human	Retinal neural layer	 txt
Human	Right cardiac atrium	 txt
Human	Right coronary artery	 txt
Human	Sacral vertebra	 txt
Human	Saliva-secreting gland	 txt
Human	Scalp	 txt
Human	Sclera	 txt
Human	Segmental bronchus	 txt
Human	Seminal fluid	 txt
Human	Sigmoid colon	 txt
Human	Sinoatrial node	 txt
Human	Skeletal muscle tissue	 txt
Human	Skin epidermis of prepuce of penis	 txt
Human	Skin of body	 txt
Human	Skin of eyelid	 txt
Human	Skin of forearm	 txt
Human	Skin of pes	 txt
Human	Skin of prepuce of penis	 txt
Human	Small intestine	 txt
Human	Spinal cord	 txt
Human	Spleen	 txt
Human	Sputum	 txt
Human	Stomach	 txt
Human	Subcutaneous abdominal adipose tissue	 txt
Human	Subcutaneous adipose tissue	 txt
Human	Submandibular gland	 txt
Human	Sympathetic ganglion	 txt
Human	Synovial fluid	 txt
Human	Synovial membrane of synovial joint	 txt
Human	Synovial membrane of synovial tendon sheath	 txt
Human	Telencephalon	 txt
Human	Temporal lobe	 txt
Human	Tendon	 txt
Human	Testis	 txt
Human	Thymus	 txt
Human	Thyroid gland	 txt
Human	Tongue	 txt
Human	Tonsil	 txt
Human	Tooth bud	 txt
Human	Trachea gland	 txt
Human	Trachea	 txt
Human	Tracheobronchial lymph node	 txt
Human	Transverse colon	 txt
Human	Tunica intima of artery	 txt
Human	Tympanic membrane	 txt
Human	Umbilical artery	 txt
Human	Umbilical cord blood	 txt
Human	Umbilical cord	 txt
Human	Umbilical vein	 txt
Human	Urethra	 txt
Human	Uterine cervix	 txt
Human	Uterus	 txt
Human	Vagina	 txt
Human	Vasculature of liver	 txt
Human	Vastus lateralis	 txt
Human	Venous blood	 txt
Human	Vertebra	 txt
Human	Vertebral column	 txt
Human	Visceral fat	 txt
Human	Wall of blood vessel	 txt
Human	White adipose tissue	 txt
Human	Yolk sac	 txt
